Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Bayesian Ridge,1.8866,5.497,2.3396,0.1143,0.6274,0.7051,0.145,"(1, 5, 16)"
Huber Regressor,1.895,5.7018,2.3828,0.0806,0.6264,0.6778,0.146,"(1, 5, 16)"
Elastic Net,1.9529,5.7814,2.4012,0.0673,0.6421,0.742,0.142,"(1, 5, 16)"
Orthogonal Matching Pursuit,1.9549,5.8263,2.4113,0.0583,0.6407,0.7408,0.144,"(1, 5, 16)"
Lasso Regression,1.9633,5.8336,2.4113,0.0598,0.6451,0.7508,0.142,"(1, 5, 16)"
Lasso Least Angle Regression,1.9633,5.8336,2.4113,0.0598,0.6451,0.7508,0.143,"(1, 5, 16)"
K Neighbors Regressor,1.9636,6.3565,2.5163,-0.0272,0.6579,0.7155,0.145,"(1, 5, 16)"
Decision Tree Regressor,2.092,8.4094,2.8839,-0.3736,0.7636,0.7404,0.145,"(1, 5, 16)"
Dummy Regressor,2.1163,6.3271,2.5102,-0.0159,0.6723,0.8514,0.152,"(1, 5, 16)"
Passive Aggressive Regressor,2.6192,10.9586,3.2606,-0.7975,0.7919,1.1018,0.142,"(1, 5, 16)"
Least Angle Regression,45337.3804,33303340983.7564,62994.1593,-6120668839.5663,3.3093,21463.4204,0.143,"(1, 5, 16)"
Extra Trees Regressor,1.5145,3.9186,1.971,0.4466,0.5446,0.4761,0.235,"(1, 5, 17)"
Light Gradient Boosting Machine,1.5192,3.8753,1.9604,0.4461,0.5557,0.4881,0.185,"(1, 5, 17)"
Random Forest Regressor,1.62,4.3036,2.0675,0.3908,0.5708,0.5116,0.385,"(1, 5, 17)"
Gradient Boosting Regressor,1.6251,4.373,2.079,0.3827,0.5706,0.5154,0.278,"(1, 5, 17)"
Linear Regression,1.8942,5.7319,2.3846,0.2001,0.6343,0.6551,0.145,"(1, 5, 17)"
Decision Tree Regressor,1.9868,7.5409,2.7371,-0.0706,0.7285,0.6514,0.149,"(1, 5, 17)"
Ridge Regression,2.0033,6.1762,2.4737,0.1371,0.661,0.6895,0.148,"(1, 5, 17)"
AdaBoost Regressor,2.0301,5.887,2.4202,0.1716,0.6711,0.7565,0.196,"(1, 5, 17)"
Bayesian Ridge,2.0656,6.4064,2.5193,0.1044,0.6702,0.7249,0.148,"(1, 5, 17)"
Huber Regressor,2.0807,6.6496,2.5647,0.0704,0.6679,0.7008,0.15,"(1, 5, 17)"
Orthogonal Matching Pursuit,2.152,6.8429,2.6059,0.0449,0.6887,0.7799,0.149,"(1, 5, 17)"
Elastic Net,2.1723,6.9332,2.6234,0.0326,0.6912,0.7899,0.148,"(1, 5, 17)"
Lasso Regression,2.1816,6.9766,2.6318,0.0264,0.6941,0.7968,0.143,"(1, 5, 17)"
Lasso Least Angle Regression,2.1816,6.9766,2.6318,0.0264,0.6941,0.7968,0.154,"(1, 5, 17)"
K Neighbors Regressor,2.2725,7.9691,2.8138,-0.1194,0.7252,0.7922,0.149,"(1, 5, 17)"
Dummy Regressor,2.2943,7.3272,2.6974,-0.0222,0.7136,0.8724,0.148,"(1, 5, 17)"
Passive Aggressive Regressor,3.4512,24.9458,4.2477,-3.2632,0.9025,1.3583,0.147,"(1, 5, 17)"
Least Angle Regression,5494.4803,150546550.5036,7741.3532,-25705353.1463,5.1321,2518.3321,0.147,"(1, 5, 17)"
Extra Trees Regressor,1.3592,3.2148,1.7843,0.4669,0.5138,0.4657,0.239,"(1, 6, 8)"
Random Forest Regressor,1.4853,3.688,1.9126,0.3908,0.5407,0.5182,0.428,"(1, 6, 8)"
Light Gradient Boosting Machine,1.4875,3.7545,1.9243,0.3747,0.537,0.5395,0.193,"(1, 6, 8)"
Gradient Boosting Regressor,1.5604,4.0479,2.0017,0.3283,0.5603,0.5558,0.297,"(1, 6, 8)"
Decision Tree Regressor,1.7661,6.2802,2.4881,-0.0465,0.6842,0.6256,0.152,"(1, 6, 8)"
Linear Regression,1.7794,5.1968,2.2603,0.1588,0.6251,0.6684,0.15,"(1, 6, 8)"
Ridge Regression,1.8135,5.1648,2.2603,0.1595,0.6312,0.6722,0.155,"(1, 6, 8)"
Bayesian Ridge,1.8316,5.2157,2.2714,0.1529,0.6347,0.6778,0.152,"(1, 6, 8)"
Huber Regressor,1.9158,5.7814,2.391,0.0653,0.6489,0.6627,0.152,"(1, 6, 8)"
AdaBoost Regressor,1.9413,5.2968,2.2958,0.129,0.6721,0.7887,0.19,"(1, 6, 8)"
Orthogonal Matching Pursuit,1.9511,5.6775,2.3722,0.0786,0.6626,0.7254,0.15,"(1, 6, 8)"
Elastic Net,1.9893,5.8357,2.4039,0.057,0.669,0.7429,0.155,"(1, 6, 8)"
Lasso Regression,2.0121,5.9198,2.4213,0.0438,0.6764,0.7514,0.152,"(1, 6, 8)"
Lasso Least Angle Regression,2.0121,5.9198,2.4213,0.0438,0.6764,0.7514,0.146,"(1, 6, 8)"
K Neighbors Regressor,2.0955,6.7873,2.5958,-0.112,0.7123,0.7814,0.154,"(1, 6, 8)"
Dummy Regressor,2.1131,6.3346,2.506,-0.024,0.6994,0.8104,0.15,"(1, 6, 8)"
Passive Aggressive Regressor,2.9628,15.2228,3.6803,-1.4981,0.8753,1.3504,0.149,"(1, 6, 8)"
Least Angle Regression,5988137.3722,464563103780824.25,7484162.8719,-74569050010870.69,5.9443,2396807.0617,0.151,"(1, 6, 8)"
Extra Trees Regressor,1.299,3.2832,1.8002,0.4563,0.5116,0.4413,0.244,"(1, 6, 9)"
Random Forest Regressor,1.4097,3.6083,1.8858,0.4069,0.5348,0.4736,0.417,"(1, 6, 9)"
Light Gradient Boosting Machine,1.423,3.7655,1.9262,0.3788,0.5393,0.5086,0.191,"(1, 6, 9)"
Gradient Boosting Regressor,1.4663,4.0055,1.9838,0.3409,0.5526,0.5103,0.285,"(1, 6, 9)"
Linear Regression,1.7297,4.9354,2.2095,0.1819,0.615,0.6831,0.156,"(1, 6, 9)"
Decision Tree Regressor,1.7494,7.0004,2.6032,-0.1334,0.7265,0.626,0.169,"(1, 6, 9)"
Ridge Regression,1.7684,5.0279,2.2336,0.1695,0.6294,0.6773,0.156,"(1, 6, 9)"
Huber Regressor,1.8432,5.5645,2.3428,0.0894,0.6375,0.666,0.177,"(1, 6, 9)"
Bayesian Ridge,1.8591,5.3775,2.3114,0.1118,0.6476,0.7249,0.171,"(1, 6, 9)"
AdaBoost Regressor,1.871,5.0705,2.2466,0.1587,0.6677,0.7885,0.192,"(1, 6, 9)"
Orthogonal Matching Pursuit,1.8866,5.5233,2.3435,0.0873,0.6514,0.742,0.171,"(1, 6, 9)"
Elastic Net,1.8953,5.5433,2.3472,0.0854,0.6564,0.7358,0.164,"(1, 6, 9)"
Lasso Regression,1.908,5.6238,2.3637,0.0728,0.6622,0.7333,0.154,"(1, 6, 9)"
Lasso Least Angle Regression,1.908,5.6238,2.3637,0.0728,0.6622,0.7333,0.174,"(1, 6, 9)"
K Neighbors Regressor,2.0415,6.9347,2.6232,-0.148,0.7118,0.7601,0.173,"(1, 6, 9)"
Dummy Regressor,2.0447,6.1941,2.4814,-0.0207,0.6961,0.8319,0.158,"(1, 6, 9)"
Passive Aggressive Regressor,3.4895,21.0965,4.3312,-2.4242,0.9784,1.8042,0.173,"(1, 6, 9)"
Least Angle Regression,30977476.2481,2.901997571393423e+16,53874755.5102,-5501542011168656.0,5.3119,18359255.6329,0.172,"(1, 6, 9)"
Extra Trees Regressor,1.3619,3.2263,1.7851,0.5189,0.5082,0.4462,0.238,"(1, 6, 10)"
Light Gradient Boosting Machine,1.4696,3.757,1.9292,0.4417,0.5423,0.511,0.197,"(1, 6, 10)"
Random Forest Regressor,1.4914,3.7502,1.9283,0.441,0.5431,0.4938,0.404,"(1, 6, 10)"
Gradient Boosting Regressor,1.5474,4.0759,2.0116,0.3878,0.5617,0.5188,0.29,"(1, 6, 10)"
Linear Regression,1.8304,5.3805,2.2976,0.2018,0.6306,0.6729,0.157,"(1, 6, 10)"
Ridge Regression,1.8578,5.2995,2.2865,0.209,0.6353,0.6816,0.155,"(1, 6, 10)"
Decision Tree Regressor,1.8889,7.4508,2.7117,-0.1113,0.7478,0.6448,0.16,"(1, 6, 10)"
Bayesian Ridge,1.8909,5.4064,2.3117,0.1938,0.6427,0.7,0.158,"(1, 6, 10)"
Huber Regressor,1.9643,5.8325,2.4017,0.131,0.6568,0.6985,0.161,"(1, 6, 10)"
AdaBoost Regressor,1.973,5.3692,2.3102,0.198,0.6709,0.7866,0.205,"(1, 6, 10)"
Orthogonal Matching Pursuit,2.0798,6.2804,2.4955,0.0645,0.6882,0.7872,0.158,"(1, 6, 10)"
Elastic Net,2.081,6.2381,2.4862,0.0751,0.6866,0.7755,0.161,"(1, 6, 10)"
K Neighbors Regressor,2.0902,6.8672,2.6098,-0.0216,0.7115,0.7617,0.157,"(1, 6, 10)"
Lasso Regression,2.1034,6.3202,2.5028,0.0638,0.6928,0.7828,0.155,"(1, 6, 10)"
Lasso Least Angle Regression,2.1034,6.3202,2.5028,0.0638,0.6928,0.7828,0.158,"(1, 6, 10)"
Dummy Regressor,2.2339,6.827,2.6045,-0.0135,0.7208,0.8861,0.16,"(1, 6, 10)"
Passive Aggressive Regressor,3.2532,19.1849,4.0691,-1.7353,0.9482,1.4461,0.157,"(1, 6, 10)"
Least Angle Regression,3374.2359,60696654.17,4386.2127,-9854673.4511,4.5761,1788.1245,0.161,"(1, 6, 10)"
Extra Trees Regressor,1.3168,3.0624,1.7414,0.547,0.5171,0.4286,0.24,"(1, 6, 12)"
Light Gradient Boosting Machine,1.4463,3.7664,1.9332,0.4392,0.5533,0.4882,0.2,"(1, 6, 12)"
Random Forest Regressor,1.4546,3.6726,1.9055,0.4563,0.5474,0.4779,0.421,"(1, 6, 12)"
Gradient Boosting Regressor,1.5326,4.1018,2.0142,0.3911,0.5671,0.51,0.292,"(1, 6, 12)"
Decision Tree Regressor,1.7743,6.5652,2.5525,0.0132,0.7064,0.6501,0.161,"(1, 6, 12)"
Linear Regression,1.8257,5.2736,2.2854,0.2181,0.6434,0.6813,0.161,"(1, 6, 12)"
Ridge Regression,1.8764,5.4619,2.3291,0.1896,0.6547,0.6952,0.162,"(1, 6, 12)"
Bayesian Ridge,1.9349,5.6888,2.3749,0.1608,0.6669,0.7248,0.162,"(1, 6, 12)"
AdaBoost Regressor,1.9418,5.3065,2.2974,0.2123,0.6854,0.7785,0.204,"(1, 6, 12)"
Huber Regressor,1.9537,6.0021,2.44,0.1126,0.6667,0.6973,0.164,"(1, 6, 12)"
Orthogonal Matching Pursuit,1.9989,5.9534,2.4308,0.1206,0.6798,0.762,0.16,"(1, 6, 12)"
Elastic Net,2.028,6.0935,2.4589,0.1009,0.683,0.7682,0.165,"(1, 6, 12)"
Lasso Regression,2.0472,6.1627,2.473,0.0906,0.6898,0.7715,0.16,"(1, 6, 12)"
Lasso Least Angle Regression,2.0472,6.1627,2.473,0.0906,0.6898,0.7715,0.159,"(1, 6, 12)"
K Neighbors Regressor,2.1694,7.2474,2.6855,-0.0763,0.744,0.81,0.163,"(1, 6, 12)"
Dummy Regressor,2.1991,6.813,2.6039,-0.0099,0.7276,0.8662,0.162,"(1, 6, 12)"
Passive Aggressive Regressor,3.7677,22.8648,4.5208,-2.426,1.015,2.0829,0.16,"(1, 6, 12)"
Least Angle Regression,8972.1252,1297498187.0205,11591.4136,-220802151.8287,2.8797,3885.81,0.162,"(1, 6, 12)"
Extra Trees Regressor,1.1903,2.5792,1.5998,0.5492,0.4794,0.4374,0.258,"(1, 6, 13)"
Light Gradient Boosting Machine,1.3077,3.0283,1.7322,0.4651,0.5044,0.4976,0.199,"(1, 6, 13)"
Random Forest Regressor,1.3297,3.1449,1.7708,0.4479,0.5174,0.4872,0.425,"(1, 6, 13)"
Gradient Boosting Regressor,1.3416,3.204,1.7827,0.4372,0.5213,0.4995,0.298,"(1, 6, 13)"
Linear Regression,1.6215,4.3736,2.0814,0.2436,0.5982,0.645,0.163,"(1, 6, 13)"
Decision Tree Regressor,1.6613,5.9256,2.4245,-0.0438,0.6811,0.6499,0.167,"(1, 6, 13)"
Ridge Regression,1.6725,4.5248,2.118,0.2196,0.6043,0.6499,0.163,"(1, 6, 13)"
Bayesian Ridge,1.6813,4.5612,2.1263,0.2141,0.6058,0.6515,0.164,"(1, 6, 13)"
AdaBoost Regressor,1.7786,4.4414,2.1042,0.2242,0.6402,0.7613,0.218,"(1, 6, 13)"
Huber Regressor,1.8108,5.3513,2.3026,0.0792,0.6307,0.6499,0.166,"(1, 6, 13)"
Orthogonal Matching Pursuit,1.8833,5.3306,2.3008,0.0793,0.6503,0.7435,0.165,"(1, 6, 13)"
Elastic Net,1.8852,5.3241,2.3002,0.0792,0.6512,0.7367,0.163,"(1, 6, 13)"
Lasso Regression,1.8981,5.3934,2.3152,0.067,0.6575,0.7381,0.165,"(1, 6, 13)"
Lasso Least Angle Regression,1.8981,5.3934,2.3152,0.067,0.6575,0.7381,0.165,"(1, 6, 13)"
K Neighbors Regressor,1.9963,6.4315,2.5269,-0.121,0.7036,0.8012,0.164,"(1, 6, 13)"
Dummy Regressor,2.0195,5.8769,2.4167,-0.0156,0.6889,0.8313,0.165,"(1, 6, 13)"
Passive Aggressive Regressor,2.7536,12.3961,3.4196,-1.123,0.9487,1.0971,0.164,"(1, 6, 13)"
Least Angle Regression,94.0586,145567.9573,153.2937,-25106.6067,2.0748,41.2878,0.165,"(1, 6, 13)"
Extra Trees Regressor,1.2838,3.1132,1.7473,0.4758,0.5033,0.4368,0.257,"(1, 6, 15)"
Random Forest Regressor,1.3576,3.4829,1.8477,0.4169,0.524,0.446,0.39,"(1, 6, 15)"
Gradient Boosting Regressor,1.4033,3.6128,1.8802,0.3972,0.5361,0.4743,0.293,"(1, 6, 15)"
Light Gradient Boosting Machine,1.4205,3.8003,1.9223,0.3622,0.5332,0.4791,0.208,"(1, 6, 15)"
Linear Regression,1.7102,5.0228,2.2192,0.1613,0.6129,0.6594,0.165,"(1, 6, 15)"
Ridge Regression,1.7189,4.8713,2.1913,0.1832,0.6129,0.6542,0.169,"(1, 6, 15)"
Bayesian Ridge,1.7547,5.0211,2.2258,0.1588,0.6228,0.6647,0.167,"(1, 6, 15)"
Decision Tree Regressor,1.7855,6.5579,2.5432,-0.1266,0.7081,0.6603,0.168,"(1, 6, 15)"
Huber Regressor,1.7906,5.372,2.3015,0.1022,0.6265,0.6314,0.17,"(1, 6, 15)"
AdaBoost Regressor,1.8053,4.8436,2.1886,0.1828,0.651,0.747,0.211,"(1, 6, 15)"
Orthogonal Matching Pursuit,1.8471,5.3618,2.3031,0.0997,0.6487,0.7111,0.168,"(1, 6, 15)"
Elastic Net,1.8632,5.4877,2.3296,0.0791,0.6503,0.7162,0.167,"(1, 6, 15)"
Lasso Regression,1.8756,5.5299,2.3378,0.0733,0.6538,0.7238,0.17,"(1, 6, 15)"
Lasso Least Angle Regression,1.8756,5.5299,2.3378,0.0733,0.6538,0.7238,0.166,"(1, 6, 15)"
K Neighbors Regressor,1.9079,6.1113,2.4549,-0.0338,0.6739,0.7385,0.166,"(1, 6, 15)"
Dummy Regressor,2.0069,6.043,2.4454,-0.0144,0.6842,0.819,0.169,"(1, 6, 15)"
Passive Aggressive Regressor,2.8304,13.7458,3.6081,-1.2371,0.9059,1.2645,0.168,"(1, 6, 15)"
Least Angle Regression,1.2711541572530376e+273,inf,inf,-inf,66.6151,6.345800915004116e+272,0.17,"(1, 6, 15)"
Extra Trees Regressor,1.2361,2.7481,1.6456,0.5335,0.4917,0.432,0.258,"(1, 6, 16)"
Light Gradient Boosting Machine,1.3395,3.2237,1.7869,0.4537,0.5232,0.4864,0.212,"(1, 6, 16)"
Random Forest Regressor,1.3604,3.2508,1.7949,0.4505,0.5254,0.4759,0.441,"(1, 6, 16)"
Gradient Boosting Regressor,1.3618,3.2876,1.8015,0.4443,0.5211,0.4989,0.303,"(1, 6, 16)"
Decision Tree Regressor,1.6269,6.0952,2.4526,-0.0521,0.6715,0.6245,0.171,"(1, 6, 16)"
Linear Regression,1.694,4.6274,2.1461,0.2157,0.6085,0.6593,0.19,"(1, 6, 16)"
Ridge Regression,1.7019,4.6341,2.1451,0.2154,0.6067,0.6586,0.198,"(1, 6, 16)"
Bayesian Ridge,1.7314,4.7542,2.1739,0.1947,0.6122,0.6695,0.179,"(1, 6, 16)"
Huber Regressor,1.8035,5.2817,2.2912,0.1068,0.6282,0.6402,0.175,"(1, 6, 16)"
AdaBoost Regressor,1.8357,4.8574,2.1981,0.1757,0.6581,0.7787,0.209,"(1, 6, 16)"
Orthogonal Matching Pursuit,1.84,5.2444,2.2807,0.1164,0.6337,0.7093,0.195,"(1, 6, 16)"
Elastic Net,1.8645,5.3172,2.2973,0.1039,0.6436,0.7196,0.19,"(1, 6, 16)"
Lasso Regression,1.8812,5.3864,2.3127,0.0921,0.6497,0.7247,0.196,"(1, 6, 16)"
Lasso Least Angle Regression,1.8812,5.3864,2.3126,0.0921,0.6497,0.7247,0.191,"(1, 6, 16)"
K Neighbors Regressor,1.9843,6.3465,2.5113,-0.0737,0.6915,0.7776,0.171,"(1, 6, 16)"
Dummy Regressor,2.0423,6.0443,2.4525,-0.0217,0.6892,0.8369,0.174,"(1, 6, 16)"
Passive Aggressive Regressor,3.4717,23.2989,4.1498,-3.0954,1.0144,1.5682,0.169,"(1, 6, 16)"
Least Angle Regression,385.0755,2620653.5918,619.8448,-495492.7167,2.4767,193.1564,0.19,"(1, 6, 16)"
Extra Trees Regressor,1.3643,3.275,1.789,0.5108,0.5015,0.4656,0.255,"(1, 6, 17)"
Light Gradient Boosting Machine,1.4207,3.6293,1.8838,0.4559,0.526,0.4873,0.218,"(1, 6, 17)"
Random Forest Regressor,1.4426,3.5193,1.8552,0.4754,0.5182,0.4936,0.429,"(1, 6, 17)"
Gradient Boosting Regressor,1.5481,3.9835,1.9751,0.4048,0.5435,0.5465,0.302,"(1, 6, 17)"
Linear Regression,1.8037,5.2461,2.2649,0.2174,0.6163,0.694,0.174,"(1, 6, 17)"
Decision Tree Regressor,1.8103,6.6895,2.5659,-0.017,0.6954,0.6495,0.175,"(1, 6, 17)"
Ridge Regression,1.8674,5.3995,2.3068,0.1902,0.6299,0.7127,0.173,"(1, 6, 17)"
Bayesian Ridge,1.9186,5.5564,2.3403,0.1679,0.6395,0.7354,0.179,"(1, 6, 17)"
AdaBoost Regressor,1.9858,5.3933,2.312,0.1828,0.6633,0.8248,0.213,"(1, 6, 17)"
Huber Regressor,2.0028,6.0626,2.44,0.097,0.6546,0.7329,0.178,"(1, 6, 17)"
Orthogonal Matching Pursuit,2.0246,6.0426,2.4411,0.0942,0.6602,0.7855,0.176,"(1, 6, 17)"
Elastic Net,2.0403,6.0829,2.4493,0.0881,0.6681,0.7877,0.165,"(1, 6, 17)"
Lasso Regression,2.0553,6.1548,2.4638,0.0772,0.6737,0.792,0.172,"(1, 6, 17)"
Lasso Least Angle Regression,2.0553,6.1548,2.4638,0.0772,0.6737,0.792,0.175,"(1, 6, 17)"
K Neighbors Regressor,2.1594,7.284,2.6816,-0.0979,0.7211,0.8196,0.176,"(1, 6, 17)"
Dummy Regressor,2.2228,6.7914,2.5952,-0.0256,0.7099,0.9008,0.177,"(1, 6, 17)"
Passive Aggressive Regressor,3.0479,15.2034,3.837,-1.3198,0.969,0.9893,0.175,"(1, 6, 17)"
Least Angle Regression,404.7292,951869.2671,553.2754,-141305.427,2.7164,179.8399,0.181,"(1, 6, 17)"
Extra Trees Regressor,1.3591,3.4435,1.8355,0.4593,0.5318,0.429,0.256,"(1, 8, 9)"
Random Forest Regressor,1.4514,3.7835,1.9275,0.4048,0.555,0.4621,0.405,"(1, 8, 9)"
Light Gradient Boosting Machine,1.4869,3.9556,1.9659,0.3774,0.5697,0.4922,0.218,"(1, 8, 9)"
Gradient Boosting Regressor,1.5082,4.088,2.0037,0.3585,0.5705,0.4873,0.288,"(1, 8, 9)"
Linear Regression,1.7121,4.9731,2.2077,0.2169,0.6241,0.597,0.176,"(1, 8, 9)"
Ridge Regression,1.8036,5.2334,2.2709,0.1777,0.6398,0.6307,0.178,"(1, 8, 9)"
AdaBoost Regressor,1.8346,4.9723,2.2193,0.2137,0.662,0.6851,0.225,"(1, 8, 9)"
Decision Tree Regressor,1.8705,7.3047,2.6742,-0.1543,0.7476,0.6173,0.178,"(1, 8, 9)"
Huber Regressor,1.8894,5.7579,2.3878,0.0879,0.6564,0.6341,0.187,"(1, 8, 9)"
Bayesian Ridge,1.9009,5.6162,2.3602,0.1103,0.6659,0.6727,0.181,"(1, 8, 9)"
Orthogonal Matching Pursuit,1.9285,5.7482,2.3882,0.09,0.6694,0.6856,0.182,"(1, 8, 9)"
Elastic Net,1.9368,5.7442,2.3894,0.0908,0.6714,0.6868,0.178,"(1, 8, 9)"
Lasso Regression,1.9534,5.8193,2.4059,0.0783,0.6786,0.6919,0.175,"(1, 8, 9)"
Lasso Least Angle Regression,1.9534,5.8193,2.4059,0.0783,0.6786,0.6919,0.18,"(1, 8, 9)"
K Neighbors Regressor,2.0655,6.7727,2.5954,-0.0887,0.7177,0.7313,0.179,"(1, 8, 9)"
Dummy Regressor,2.1191,6.4726,2.5388,-0.0243,0.7125,0.7999,0.18,"(1, 8, 9)"
Passive Aggressive Regressor,3.099,17.8612,3.9072,-1.7258,0.8893,1.3133,0.177,"(1, 8, 9)"
Least Angle Regression,1370146.3812,46399378609038.92,2403233.7602,-7933029187685.869,6.2808,628114.2612,0.182,"(1, 8, 9)"
Extra Trees Regressor,1.507,3.9726,1.9868,0.448,0.5568,0.4672,0.257,"(1, 8, 10)"
Light Gradient Boosting Machine,1.6526,4.6805,2.1553,0.35,0.5897,0.5293,0.215,"(1, 8, 10)"
Random Forest Regressor,1.6682,4.6161,2.1427,0.3587,0.5923,0.5271,0.413,"(1, 8, 10)"
Gradient Boosting Regressor,1.7889,5.2648,2.2873,0.2687,0.6185,0.5689,0.292,"(1, 8, 10)"
Linear Regression,1.9556,6.0981,2.4605,0.1479,0.6617,0.672,0.186,"(1, 8, 10)"
Ridge Regression,1.9997,6.1535,2.4734,0.1424,0.672,0.6705,0.179,"(1, 8, 10)"
Bayesian Ridge,2.0465,6.3404,2.513,0.1169,0.6834,0.6861,0.181,"(1, 8, 10)"
Decision Tree Regressor,2.0879,8.8779,2.9598,-0.2382,0.799,0.6494,0.184,"(1, 8, 10)"
Huber Regressor,2.0923,6.6542,2.572,0.0735,0.6881,0.6901,0.185,"(1, 8, 10)"
Orthogonal Matching Pursuit,2.1387,6.6698,2.5779,0.0713,0.701,0.7356,0.18,"(1, 8, 10)"
AdaBoost Regressor,2.1481,6.4832,2.5429,0.0963,0.7143,0.7918,0.224,"(1, 8, 10)"
Elastic Net,2.1588,6.7328,2.5917,0.0617,0.7069,0.7443,0.181,"(1, 8, 10)"
Lasso Regression,2.1808,6.8288,2.6102,0.0487,0.7143,0.7557,0.181,"(1, 8, 10)"
Lasso Least Angle Regression,2.1808,6.8288,2.6102,0.0487,0.7143,0.7557,0.181,"(1, 8, 10)"
K Neighbors Regressor,2.3001,8.1099,2.8459,-0.1338,0.7542,0.8019,0.19,"(1, 8, 10)"
Dummy Regressor,2.3166,7.3593,2.7104,-0.0242,0.7364,0.8472,0.182,"(1, 8, 10)"
Passive Aggressive Regressor,5.2643,46.6754,6.5401,-5.6327,1.1742,2.71,0.179,"(1, 8, 10)"
Least Angle Regression,35861.6495,12140391758.6595,46191.4845,-1698327335.2589,6.0102,15546.1401,0.186,"(1, 8, 10)"
Extra Trees Regressor,1.4801,3.9677,1.9844,0.4525,0.5553,0.4776,0.288,"(1, 8, 12)"
Light Gradient Boosting Machine,1.6395,4.7567,2.172,0.3431,0.5933,0.5361,0.246,"(1, 8, 12)"
Random Forest Regressor,1.6614,4.6842,2.1571,0.3533,0.5939,0.5425,0.454,"(1, 8, 12)"
Gradient Boosting Regressor,1.7236,5.262,2.2826,0.2738,0.6088,0.562,0.307,"(1, 8, 12)"
Decision Tree Regressor,1.9355,7.2768,2.6874,-0.0108,0.7277,0.6554,0.188,"(1, 8, 12)"
Ridge Regression,2.008,6.177,2.4776,0.149,0.6706,0.7099,0.183,"(1, 8, 12)"
Linear Regression,2.012,6.3753,2.5169,0.1191,0.6772,0.7119,0.184,"(1, 8, 12)"
Huber Regressor,2.0632,6.5441,2.551,0.0995,0.6759,0.6894,0.187,"(1, 8, 12)"
Bayesian Ridge,2.0936,6.4823,2.5403,0.1066,0.6904,0.7406,0.183,"(1, 8, 12)"
Orthogonal Matching Pursuit,2.1037,6.5836,2.5601,0.0922,0.6931,0.7447,0.187,"(1, 8, 12)"
AdaBoost Regressor,2.1053,6.2478,2.4937,0.1386,0.7111,0.8107,0.243,"(1, 8, 12)"
Elastic Net,2.122,6.617,2.5676,0.087,0.6969,0.7591,0.184,"(1, 8, 12)"
Lasso Regression,2.1441,6.6877,2.5814,0.0772,0.7042,0.7677,0.186,"(1, 8, 12)"
Lasso Least Angle Regression,2.1441,6.6877,2.5814,0.0772,0.7042,0.7677,0.184,"(1, 8, 12)"
Dummy Regressor,2.2887,7.3384,2.7044,-0.0117,0.7354,0.8598,0.21,"(1, 8, 12)"
K Neighbors Regressor,2.2961,8.0238,2.8289,-0.1134,0.7579,0.8297,0.182,"(1, 8, 12)"
Passive Aggressive Regressor,4.814,41.6873,5.8604,-4.5352,1.0899,2.2373,0.182,"(1, 8, 12)"
Least Angle Regression,26803.2562,12680446947.3797,35745.0672,-1702363767.3067,3.292,10950.3994,0.184,"(1, 8, 12)"
Extra Trees Regressor,1.3828,3.3605,1.8169,0.472,0.5387,0.4697,0.297,"(1, 8, 13)"
Light Gradient Boosting Machine,1.506,3.8754,1.9538,0.3912,0.5685,0.5232,0.225,"(1, 8, 13)"
Random Forest Regressor,1.506,3.8842,1.9554,0.3912,0.5733,0.507,0.467,"(1, 8, 13)"
Gradient Boosting Regressor,1.591,4.212,2.0432,0.3376,0.5973,0.5433,0.301,"(1, 8, 13)"
Linear Regression,1.7851,5.2201,2.2728,0.1814,0.6331,0.6326,0.185,"(1, 8, 13)"
Ridge Regression,1.8472,5.2675,2.2848,0.1729,0.643,0.6633,0.186,"(1, 8, 13)"
Bayesian Ridge,1.8982,5.4261,2.3196,0.1488,0.6569,0.6784,0.211,"(1, 8, 13)"
Decision Tree Regressor,1.9138,7.6675,2.7596,-0.217,0.7543,0.7075,0.204,"(1, 8, 13)"
Huber Regressor,1.9232,5.6876,2.3721,0.111,0.6619,0.6528,0.207,"(1, 8, 13)"
AdaBoost Regressor,1.93,5.3243,2.3024,0.1595,0.681,0.734,0.249,"(1, 8, 13)"
Orthogonal Matching Pursuit,1.9593,5.7397,2.3856,0.1005,0.6785,0.7005,0.205,"(1, 8, 13)"
Elastic Net,1.9708,5.7993,2.3983,0.0915,0.6806,0.7047,0.186,"(1, 8, 13)"
Lasso Regression,1.9856,5.8761,2.4144,0.0792,0.6872,0.7088,0.186,"(1, 8, 13)"
Lasso Least Angle Regression,1.9856,5.8761,2.4144,0.0792,0.6872,0.7088,0.187,"(1, 8, 13)"
K Neighbors Regressor,2.0654,6.8904,2.6093,-0.0816,0.7166,0.7211,0.208,"(1, 8, 13)"
Dummy Regressor,2.144,6.5306,2.5486,-0.0269,0.717,0.8031,0.189,"(1, 8, 13)"
Passive Aggressive Regressor,2.4095,9.0397,2.9536,-0.4444,0.7767,0.8442,0.209,"(1, 8, 13)"
Least Angle Regression,4091.6143,159307880.0895,5898.0007,-28364988.1286,4.0133,1841.1135,0.189,"(1, 8, 13)"
Extra Trees Regressor,1.3834,3.4699,1.8583,0.4907,0.5122,0.4513,0.273,"(1, 8, 15)"
