Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),test_set
Gradient Boosting Regressor,3.4232,15.8073,3.9723,0.0919,0.3112,0.317,0.664,"('subject_1', 'subject_15', 'subject_19')"
Light Gradient Boosting Machine,3.4393,17.0969,4.1302,0.0151,0.3176,0.3109,0.565,"('subject_1', 'subject_15', 'subject_19')"
Extra Trees Regressor,3.5203,17.3996,4.1684,-0.0009,0.3231,0.3241,0.687,"('subject_1', 'subject_15', 'subject_19')"
AdaBoost Regressor,3.5246,16.3046,4.0332,0.066,0.3189,0.3289,0.552,"('subject_1', 'subject_15', 'subject_19')"
Linear Regression,3.5882,17.2104,4.1432,0.015,0.3298,0.342,0.508,"('subject_1', 'subject_15', 'subject_19')"
Ridge Regression,3.5894,17.2106,4.1433,0.015,0.3299,0.3423,0.487,"('subject_1', 'subject_15', 'subject_19')"
Huber Regressor,3.606,17.5884,4.1886,-0.0071,0.3361,0.351,0.529,"('subject_1', 'subject_15', 'subject_19')"
Elastic Net,3.6147,17.5282,4.1805,-0.0019,0.3342,0.3474,0.463,"('subject_1', 'subject_15', 'subject_19')"
Lasso Least Angle Regression,3.6197,17.5593,4.1839,-0.0032,0.3344,0.3476,0.466,"('subject_1', 'subject_15', 'subject_19')"
Lasso Regression,3.6197,17.5593,4.1839,-0.0032,0.3344,0.3476,0.461,"('subject_1', 'subject_15', 'subject_19')"
Bayesian Ridge,3.6205,17.5574,4.184,-0.0035,0.3344,0.3477,0.501,"('subject_1', 'subject_15', 'subject_19')"
Dummy Regressor,3.6271,17.6283,4.1919,-0.0069,0.3347,0.3478,0.551,"('subject_1', 'subject_15', 'subject_19')"
Orthogonal Matching Pursuit,3.6287,17.6637,4.1954,-0.0084,0.3352,0.3488,0.454,"('subject_1', 'subject_15', 'subject_19')"
K Neighbors Regressor,3.717,19.5906,4.42,-0.1224,0.3491,0.3584,0.575,"('subject_1', 'subject_15', 'subject_19')"
Least Angle Regression,3.7747,20.1713,4.4335,-0.1413,0.3495,0.3594,0.557,"('subject_1', 'subject_15', 'subject_19')"
Passive Aggressive Regressor,4.2524,27.3343,5.1595,-0.5629,0.3961,0.415,0.539,"('subject_1', 'subject_15', 'subject_19')"
Decision Tree Regressor,4.334,29.7378,5.4494,-0.7131,0.4219,0.3818,0.549,"('subject_1', 'subject_15', 'subject_19')"
Gradient Boosting Regressor,3.5119,16.4735,4.0572,0.0717,0.3166,0.3246,0.519,"('subject_1', 'subject_15', 'subject_2')"
Random Forest Regressor,3.5136,16.7695,4.093,0.0559,0.3158,0.3197,0.688,"('subject_1', 'subject_15', 'subject_2')"
AdaBoost Regressor,3.5894,16.6709,4.081,0.0629,0.3218,0.3335,0.504,"('subject_1', 'subject_15', 'subject_2')"
Light Gradient Boosting Machine,3.5951,18.1362,4.2564,-0.0218,0.3265,0.326,0.577,"('subject_1', 'subject_15', 'subject_2')"
Least Angle Regression,3.6135,17.329,4.1599,0.0262,0.3309,0.3433,0.5,"('subject_1', 'subject_15', 'subject_2')"
Linear Regression,3.6152,17.3287,4.1598,0.0263,0.331,0.3435,0.529,"('subject_1', 'subject_15', 'subject_2')"
Ridge Regression,3.6167,17.3267,4.1596,0.0264,0.3311,0.3439,0.553,"('subject_1', 'subject_15', 'subject_2')"
Extra Trees Regressor,3.6199,17.9519,4.2343,-0.0116,0.3277,0.3322,0.576,"('subject_1', 'subject_15', 'subject_2')"
Orthogonal Matching Pursuit,3.6494,17.7566,4.2112,0.0029,0.3367,0.3506,0.53,"('subject_1', 'subject_15', 'subject_2')"
Bayesian Ridge,3.6553,17.7953,4.2158,0.0007,0.3368,0.3507,0.482,"('subject_1', 'subject_15', 'subject_2')"
Elastic Net,3.6575,17.8062,4.2171,0.0002,0.337,0.3511,0.523,"('subject_1', 'subject_15', 'subject_2')"
Lasso Regression,3.6596,17.823,4.2192,-0.0009,0.3372,0.3513,0.559,"('subject_1', 'subject_15', 'subject_2')"
Lasso Least Angle Regression,3.6596,17.823,4.2192,-0.0009,0.3372,0.3513,0.541,"('subject_1', 'subject_15', 'subject_2')"
Huber Regressor,3.6629,18.0972,4.2507,-0.0162,0.3406,0.3563,0.469,"('subject_1', 'subject_15', 'subject_2')"
Dummy Regressor,3.668,17.8971,4.228,-0.0051,0.3377,0.3519,0.538,"('subject_1', 'subject_15', 'subject_2')"
K Neighbors Regressor,3.7615,19.7122,4.4377,-0.11,0.3505,0.3608,0.54,"('subject_1', 'subject_15', 'subject_2')"
Passive Aggressive Regressor,4.1455,25.3404,4.9743,-0.4313,0.3905,0.3826,0.476,"('subject_1', 'subject_15', 'subject_2')"
Decision Tree Regressor,4.4457,31.3108,5.5831,-0.7673,0.4304,0.3882,0.553,"('subject_1', 'subject_15', 'subject_2')"
Random Forest Regressor,3.533,16.8785,4.1069,0.0548,0.3215,0.3283,0.637,"('subject_1', 'subject_15', 'subject_20')"
Gradient Boosting Regressor,3.5587,16.9248,4.1122,0.0524,0.324,0.3328,0.578,"('subject_1', 'subject_15', 'subject_20')"
Light Gradient Boosting Machine,3.5897,18.1805,4.2612,-0.0189,0.3316,0.3304,0.489,"('subject_1', 'subject_15', 'subject_20')"
AdaBoost Regressor,3.6255,17.0783,4.1315,0.0444,0.3287,0.3426,0.486,"('subject_1', 'subject_15', 'subject_20')"
Extra Trees Regressor,3.6702,18.3952,4.285,-0.0294,0.3343,0.3418,0.591,"('subject_1', 'subject_15', 'subject_20')"
Linear Regression,3.684,17.9398,4.2339,-0.0031,0.3394,0.3555,0.573,"('subject_1', 'subject_15', 'subject_20')"
Ridge Regression,3.6844,17.9346,4.2334,-0.0028,0.3395,0.3557,0.537,"('subject_1', 'subject_15', 'subject_20')"
Least Angle Regression,3.688,17.9997,4.2408,-0.0064,0.3397,0.3557,0.567,"('subject_1', 'subject_15', 'subject_20')"
Elastic Net,3.6892,18.0704,4.2494,-0.0103,0.3419,0.3584,0.529,"('subject_1', 'subject_15', 'subject_20')"
Lasso Least Angle Regression,3.6948,18.0932,4.2521,-0.0116,0.342,0.3586,0.552,"('subject_1', 'subject_15', 'subject_20')"
Lasso Regression,3.6948,18.0932,4.2521,-0.0116,0.342,0.3586,0.537,"('subject_1', 'subject_15', 'subject_20')"
Bayesian Ridge,3.6958,18.1065,4.2537,-0.0123,0.3422,0.3589,0.542,"('subject_1', 'subject_15', 'subject_20')"
Huber Regressor,3.6966,18.2594,4.2714,-0.0207,0.3451,0.3642,0.462,"('subject_1', 'subject_15', 'subject_20')"
Orthogonal Matching Pursuit,3.704,18.2335,4.2685,-0.0193,0.3429,0.3592,0.548,"('subject_1', 'subject_15', 'subject_20')"
Dummy Regressor,3.7083,18.2059,4.2654,-0.0179,0.3427,0.3595,0.582,"('subject_1', 'subject_15', 'subject_20')"
K Neighbors Regressor,3.7844,19.8297,4.4498,-0.11,0.354,0.3652,0.485,"('subject_1', 'subject_15', 'subject_20')"
Decision Tree Regressor,4.3937,30.7937,5.5454,-0.7266,0.4322,0.3884,0.518,"('subject_1', 'subject_15', 'subject_20')"
Passive Aggressive Regressor,5.3885,42.7229,6.4405,-1.3835,0.5236,0.4395,0.494,"('subject_1', 'subject_15', 'subject_20')"
Random Forest Regressor,3.46,16.2553,4.0274,0.0634,0.3115,0.3144,0.549,"('subject_1', 'subject_15', 'subject_21')"
Extra Trees Regressor,3.5093,16.9744,4.1155,0.0234,0.3173,0.3183,0.593,"('subject_1', 'subject_15', 'subject_21')"
Light Gradient Boosting Machine,3.524,17.6626,4.1976,-0.0183,0.3217,0.3174,0.561,"('subject_1', 'subject_15', 'subject_21')"
Gradient Boosting Regressor,3.5247,16.607,4.0729,0.043,0.3177,0.325,0.541,"('subject_1', 'subject_15', 'subject_21')"
AdaBoost Regressor,3.5634,16.5898,4.072,0.0444,0.3197,0.3288,0.48,"('subject_1', 'subject_15', 'subject_21')"
Linear Regression,3.6017,17.3644,4.1643,0.0022,0.3305,0.3417,0.536,"('subject_1', 'subject_15', 'subject_21')"
Ridge Regression,3.6034,17.3614,4.164,0.0023,0.3306,0.3419,0.479,"('subject_1', 'subject_15', 'subject_21')"
Orthogonal Matching Pursuit,3.6235,17.5211,4.1837,-0.0073,0.3333,0.3457,0.549,"('subject_1', 'subject_15', 'subject_21')"
Least Angle Regression,3.6268,17.7176,4.2045,-0.0185,0.3331,0.3434,0.475,"('subject_1', 'subject_15', 'subject_21')"
Elastic Net,3.6274,17.5347,4.1852,-0.0079,0.3333,0.3459,0.478,"('subject_1', 'subject_15', 'subject_21')"
Huber Regressor,3.6294,17.8357,4.2205,-0.0249,0.3372,0.3514,0.494,"('subject_1', 'subject_15', 'subject_21')"
Dummy Regressor,3.6332,17.5471,4.1867,-0.0086,0.3333,0.3463,0.534,"('subject_1', 'subject_15', 'subject_21')"
Lasso Regression,3.6341,17.5645,4.1887,-0.0096,0.3335,0.3464,0.45,"('subject_1', 'subject_15', 'subject_21')"
Lasso Least Angle Regression,3.6341,17.5645,4.1887,-0.0096,0.3335,0.3464,0.469,"('subject_1', 'subject_15', 'subject_21')"
Bayesian Ridge,3.6396,17.6122,4.1944,-0.0123,0.3338,0.3468,0.463,"('subject_1', 'subject_15', 'subject_21')"
K Neighbors Regressor,3.7002,19.1552,4.3722,-0.1009,0.3429,0.3493,0.438,"('subject_1', 'subject_15', 'subject_21')"
Passive Aggressive Regressor,4.2079,25.911,5.0626,-0.497,0.3852,0.3733,0.473,"('subject_1', 'subject_15', 'subject_21')"
Decision Tree Regressor,4.4103,31.0998,5.5689,-0.7941,0.4317,0.3834,0.508,"('subject_1', 'subject_15', 'subject_21')"
Random Forest Regressor,3.4581,16.2893,4.0337,0.0816,0.315,0.3185,0.671,"('subject_1', 'subject_15', 'subject_22')"
Gradient Boosting Regressor,3.5073,16.5018,4.0597,0.0691,0.319,0.3262,0.505,"('subject_1', 'subject_15', 'subject_22')"
Light Gradient Boosting Machine,3.5408,17.7441,4.2093,-0.0023,0.3259,0.3232,0.488,"('subject_1', 'subject_15', 'subject_22')"
AdaBoost Regressor,3.5522,16.4684,4.0555,0.0718,0.3232,0.3355,0.481,"('subject_1', 'subject_15', 'subject_22')"
Extra Trees Regressor,3.5807,17.7125,4.2068,-0.0003,0.3267,0.3288,0.634,"('subject_1', 'subject_15', 'subject_22')"
Linear Regression,3.6247,17.523,4.1837,0.012,0.336,0.3496,0.522,"('subject_1', 'subject_15', 'subject_22')"
Ridge Regression,3.6253,17.5199,4.1834,0.0122,0.3361,0.3498,0.501,"('subject_1', 'subject_15', 'subject_22')"
Elastic Net,3.6479,17.7477,4.2104,-0.0,0.3394,0.3542,0.518,"('subject_1', 'subject_15', 'subject_22')"
Bayesian Ridge,3.6511,17.7658,4.2126,-0.0011,0.3394,0.3543,0.441,"('subject_1', 'subject_15', 'subject_22')"
Huber Regressor,3.6577,18.0031,4.2408,-0.0147,0.3425,0.3587,0.54,"('subject_1', 'subject_15', 'subject_22')"
Lasso Regression,3.6583,17.8113,4.2181,-0.0037,0.3398,0.355,0.525,"('subject_1', 'subject_15', 'subject_22')"
Lasso Least Angle Regression,3.6583,17.8113,4.2181,-0.0037,0.3398,0.355,0.491,"('subject_1', 'subject_15', 'subject_22')"
Least Angle Regression,3.6649,18.2115,4.2622,-0.0276,0.3412,0.3512,0.563,"('subject_1', 'subject_15', 'subject_22')"
Orthogonal Matching Pursuit,3.6673,17.9571,4.2357,-0.0124,0.3411,0.3559,0.518,"('subject_1', 'subject_15', 'subject_22')"
Dummy Regressor,3.6776,17.9407,4.2333,-0.0109,0.3405,0.3562,0.529,"('subject_1', 'subject_15', 'subject_22')"
K Neighbors Regressor,3.7068,19.0397,4.3607,-0.0741,0.3469,0.3552,0.527,"('subject_1', 'subject_15', 'subject_22')"
Decision Tree Regressor,4.454,31.8175,5.6309,-0.8038,0.4357,0.3964,0.52,"('subject_1', 'subject_15', 'subject_22')"
Passive Aggressive Regressor,5.4296,45.001,6.5006,-1.5019,0.4787,0.5943,0.476,"('subject_1', 'subject_15', 'subject_22')"
Random Forest Regressor,3.3802,15.791,3.9706,0.0805,0.3073,0.307,0.674,"('subject_1', 'subject_15', 'subject_24')"
Gradient Boosting Regressor,3.4495,16.0657,4.0029,0.0661,0.3122,0.3166,0.591,"('subject_1', 'subject_15', 'subject_24')"
Light Gradient Boosting Machine,3.4631,17.2068,4.1451,-0.0034,0.3179,0.3128,0.568,"('subject_1', 'subject_15', 'subject_24')"
AdaBoost Regressor,3.4672,15.9111,3.9855,0.0746,0.3147,0.3218,0.537,"('subject_1', 'subject_15', 'subject_24')"
Extra Trees Regressor,3.4672,16.7606,4.0909,0.024,0.3155,0.3158,0.621,"('subject_1', 'subject_15', 'subject_24')"
Linear Regression,3.5457,16.9425,4.1107,0.0156,0.3272,0.3371,0.5,"('subject_1', 'subject_15', 'subject_24')"
Ridge Regression,3.5469,16.94,4.1106,0.0157,0.3274,0.3374,0.585,"('subject_1', 'subject_15', 'subject_24')"
Orthogonal Matching Pursuit,3.5655,17.1928,4.1433,0.0005,0.3316,0.3421,0.564,"('subject_1', 'subject_15', 'subject_24')"
Elastic Net,3.5672,17.1839,4.142,0.0013,0.3315,0.3422,0.532,"('subject_1', 'subject_15', 'subject_24')"
Lasso Least Angle Regression,3.5691,17.2066,4.1447,0.0001,0.3316,0.3423,0.548,"('subject_1', 'subject_15', 'subject_24')"
Lasso Regression,3.5691,17.2066,4.1447,0.0001,0.3316,0.3423,0.5,"('subject_1', 'subject_15', 'subject_24')"
Bayesian Ridge,3.5713,17.2139,4.1454,-0.0004,0.3316,0.3424,0.493,"('subject_1', 'subject_15', 'subject_24')"
Dummy Regressor,3.5757,17.2853,4.1541,-0.0043,0.332,0.3425,0.537,"('subject_1', 'subject_15', 'subject_24')"
Huber Regressor,3.5922,17.606,4.1914,-0.0234,0.3362,0.3492,0.469,"('subject_1', 'subject_15', 'subject_24')"
K Neighbors Regressor,3.6852,19.1657,4.3768,-0.1178,0.3448,0.3508,0.51,"('subject_1', 'subject_15', 'subject_24')"
Decision Tree Regressor,4.2786,28.9802,5.3758,-0.6896,0.4137,0.3823,0.491,"('subject_1', 'subject_15', 'subject_24')"
Passive Aggressive Regressor,5.1304,39.8619,6.1706,-1.3046,0.5033,0.4278,0.517,"('subject_1', 'subject_15', 'subject_24')"
Least Angle Regression,8.0918,376.1568,9.7471,-21.2563,0.4417,0.7828,0.531,"('subject_1', 'subject_15', 'subject_24')"
Random Forest Regressor,3.4983,16.6901,4.0756,0.0794,0.3185,0.3242,0.647,"('subject_1', 'subject_15', 'subject_25')"
Gradient Boosting Regressor,3.5472,16.8554,4.0987,0.0691,0.3221,0.3312,0.592,"('subject_1', 'subject_15', 'subject_25')"
Light Gradient Boosting Machine,3.5509,18.0715,4.2366,0.0048,0.3289,0.3266,0.56,"('subject_1', 'subject_15', 'subject_25')"
Extra Trees Regressor,3.5683,17.6626,4.1944,0.0248,0.3272,0.3317,0.618,"('subject_1', 'subject_15', 'subject_25')"
AdaBoost Regressor,3.5815,16.6799,4.0795,0.0787,0.3258,0.3402,0.526,"('subject_1', 'subject_15', 'subject_25')"
Orthogonal Matching Pursuit,3.6957,18.1468,4.2568,-0.0037,0.3434,0.3599,0.476,"('subject_1', 'subject_15', 'subject_25')"
Linear Regression,3.6992,18.0562,4.2459,0.0012,0.3411,0.3579,0.517,"('subject_1', 'subject_15', 'subject_25')"
Ridge Regression,3.7003,18.0536,4.2456,0.0014,0.3412,0.3582,0.481,"('subject_1', 'subject_15', 'subject_25')"
Elastic Net,3.7064,18.197,4.2623,-0.006,0.3439,0.3612,0.47,"('subject_1', 'subject_15', 'subject_25')"
Lasso Least Angle Regression,3.7079,18.2085,4.2639,-0.0068,0.3439,0.3612,0.473,"('subject_1', 'subject_15', 'subject_25')"
Lasso Regression,3.7079,18.2085,4.2639,-0.0068,0.3439,0.3612,0.524,"('subject_1', 'subject_15', 'subject_25')"
Dummy Regressor,3.7086,18.2124,4.2643,-0.007,0.3438,0.361,0.538,"('subject_1', 'subject_15', 'subject_25')"
Bayesian Ridge,3.7157,18.2766,4.2716,-0.0104,0.3445,0.362,0.458,"('subject_1', 'subject_15', 'subject_25')"
Huber Regressor,3.7342,18.587,4.3063,-0.027,0.3485,0.3688,0.543,"('subject_1', 'subject_15', 'subject_25')"
K Neighbors Regressor,3.7738,20.039,4.47,-0.1075,0.3566,0.3679,0.496,"('subject_1', 'subject_15', 'subject_25')"
Least Angle Regression,3.9454,22.2902,4.5979,-0.2228,0.3635,0.3777,0.495,"('subject_1', 'subject_15', 'subject_25')"
Decision Tree Regressor,4.546,32.0429,5.6495,-0.7699,0.4388,0.4061,0.61,"('subject_1', 'subject_15', 'subject_25')"
Passive Aggressive Regressor,5.9602,50.2849,6.9479,-1.8085,0.5972,0.4263,0.517,"('subject_1', 'subject_15', 'subject_25')"
Random Forest Regressor,3.4302,16.2496,4.0261,0.0377,0.3142,0.3167,0.697,"('subject_1', 'subject_15', 'subject_26')"
AdaBoost Regressor,3.4615,15.9446,3.9911,0.0562,0.318,0.3272,0.491,"('subject_1', 'subject_15', 'subject_26')"
Gradient Boosting Regressor,3.4963,16.5058,4.0583,0.0225,0.3185,0.3245,0.495,"('subject_1', 'subject_15', 'subject_26')"
Orthogonal Matching Pursuit,3.5282,17.0085,4.1214,-0.0054,0.332,0.342,0.549,"('subject_1', 'subject_15', 'subject_26')"
Elastic Net,3.5419,17.0775,4.1297,-0.0093,0.3324,0.343,0.492,"('subject_1', 'subject_15', 'subject_26')"
Lasso Regression,3.5448,17.0828,4.1305,-0.0097,0.3324,0.343,0.472,"('subject_1', 'subject_15', 'subject_26')"
Lasso Least Angle Regression,3.5448,17.0828,4.1305,-0.0097,0.3324,0.343,0.487,"('subject_1', 'subject_15', 'subject_26')"
Extra Trees Regressor,3.5466,17.5328,4.1824,-0.0372,0.326,0.3275,0.622,"('subject_1', 'subject_15', 'subject_26')"
Bayesian Ridge,3.5475,17.1295,4.136,-0.0124,0.3328,0.3434,0.52,"('subject_1', 'subject_15', 'subject_26')"
Least Angle Regression,3.5478,17.1226,4.135,-0.012,0.3315,0.3414,0.496,"('subject_1', 'subject_15', 'subject_26')"
Ridge Regression,3.5485,17.1226,4.1349,-0.012,0.3317,0.3417,0.47,"('subject_1', 'subject_15', 'subject_26')"
Linear Regression,3.5487,17.1289,4.1357,-0.0123,0.3316,0.3416,0.53,"('subject_1', 'subject_15', 'subject_26')"
Dummy Regressor,3.5546,17.1531,4.1391,-0.0139,0.3328,0.3436,0.503,"('subject_1', 'subject_15', 'subject_26')"
Huber Regressor,3.5804,17.5242,4.1829,-0.0356,0.3372,0.35,0.521,"('subject_1', 'subject_15', 'subject_26')"
Light Gradient Boosting Machine,3.5924,18.5493,4.3003,-0.0984,0.3325,0.3271,0.551,"('subject_1', 'subject_15', 'subject_26')"
K Neighbors Regressor,3.6965,19.1957,4.3788,-0.1373,0.3476,0.3545,0.547,"('subject_1', 'subject_15', 'subject_26')"
Passive Aggressive Regressor,4.531,30.934,5.3971,-0.8062,0.4049,0.4351,0.527,"('subject_1', 'subject_15', 'subject_26')"
Decision Tree Regressor,4.5336,32.1487,5.6605,-0.9176,0.4423,0.4073,0.54,"('subject_1', 'subject_15', 'subject_26')"
Random Forest Regressor,3.4337,16.0852,4.0065,0.0903,0.3127,0.3168,0.576,"('subject_1', 'subject_15', 'subject_27')"
Gradient Boosting Regressor,3.4989,16.3088,4.0354,0.0767,0.3172,0.3259,0.561,"('subject_1', 'subject_15', 'subject_27')"
Light Gradient Boosting Machine,3.5056,17.3634,4.1631,0.0163,0.3217,0.3205,0.459,"('subject_1', 'subject_15', 'subject_27')"
AdaBoost Regressor,3.5255,16.2277,4.026,0.0817,0.3202,0.332,0.452,"('subject_1', 'subject_15', 'subject_27')"
Extra Trees Regressor,3.576,17.386,4.1631,0.0174,0.3237,0.3287,0.543,"('subject_1', 'subject_15', 'subject_27')"
Linear Regression,3.6019,17.4234,4.1682,0.0175,0.3336,0.3457,0.46,"('subject_1', 'subject_15', 'subject_27')"
Ridge Regression,3.6022,17.416,4.1675,0.0178,0.3336,0.3459,0.458,"('subject_1', 'subject_15', 'subject_27')"
Orthogonal Matching Pursuit,3.6221,17.6035,4.1914,0.0062,0.3369,0.3505,0.444,"('subject_1', 'subject_15', 'subject_27')"
Bayesian Ridge,3.6223,17.5755,4.1884,0.0075,0.3366,0.3502,0.407,"('subject_1', 'subject_15', 'subject_27')"
Elastic Net,3.6254,17.5911,4.1902,0.0066,0.3368,0.3506,0.458,"('subject_1', 'subject_15', 'subject_27')"
Huber Regressor,3.6282,17.7911,4.2135,-0.0045,0.3392,0.3537,0.485,"('subject_1', 'subject_15', 'subject_27')"
Lasso Regression,3.632,17.6241,4.1944,0.0046,0.337,0.351,0.521,"('subject_1', 'subject_15', 'subject_27')"
Lasso Least Angle Regression,3.632,17.6241,4.1944,0.0046,0.337,0.351,0.504,"('subject_1', 'subject_15', 'subject_27')"
Least Angle Regression,3.6475,18.4268,4.281,-0.0396,0.3451,0.3501,0.477,"('subject_1', 'subject_15', 'subject_27')"
Dummy Regressor,3.6494,17.7552,4.2103,-0.0032,0.3379,0.3522,0.495,"('subject_1', 'subject_15', 'subject_27')"
K Neighbors Regressor,3.7454,19.6154,4.4166,-0.103,0.3493,0.3592,0.491,"('subject_1', 'subject_15', 'subject_27')"
Passive Aggressive Regressor,4.1207,25.3459,4.9535,-0.4412,0.3938,0.4192,0.486,"('subject_1', 'subject_15', 'subject_27')"
Decision Tree Regressor,4.3841,30.3206,5.4979,-0.7216,0.4264,0.3891,0.537,"('subject_1', 'subject_15', 'subject_27')"
Gradient Boosting Regressor,3.5281,16.6069,4.0736,0.0896,0.3189,0.3277,0.555,"('subject_1', 'subject_15', 'subject_28')"
Random Forest Regressor,3.5452,17.0042,4.1212,0.0687,0.3207,0.3258,0.646,"('subject_1', 'subject_15', 'subject_28')"
Light Gradient Boosting Machine,3.5687,18.1829,4.2578,0.0025,0.3286,0.3239,0.49,"('subject_1', 'subject_15', 'subject_28')"
AdaBoost Regressor,3.6261,17.0995,4.1327,0.0649,0.3278,0.3414,0.51,"('subject_1', 'subject_15', 'subject_28')"
Extra Trees Regressor,3.6429,18.057,4.2459,0.009,0.3285,0.3334,0.645,"('subject_1', 'subject_15', 'subject_28')"
Linear Regression,3.7172,18.1719,4.2598,0.0066,0.3407,0.3574,0.453,"('subject_1', 'subject_15', 'subject_28')"
Ridge Regression,3.7174,18.1662,4.2593,0.0069,0.3409,0.3576,0.438,"('subject_1', 'subject_15', 'subject_28')"
Lasso Least Angle Regression,3.7224,18.3762,4.284,-0.0041,0.3438,0.3605,0.501,"('subject_1', 'subject_15', 'subject_28')"
Lasso Regression,3.7224,18.3762,4.284,-0.0041,0.3438,0.3605,0.407,"('subject_1', 'subject_15', 'subject_28')"
Elastic Net,3.723,18.3696,4.2833,-0.0039,0.3438,0.3606,0.43,"('subject_1', 'subject_15', 'subject_28')"
Dummy Regressor,3.7238,18.3905,4.2856,-0.0048,0.3439,0.3606,0.446,"('subject_1', 'subject_15', 'subject_28')"
Bayesian Ridge,3.7256,18.3844,4.2851,-0.0047,0.3439,0.3608,0.488,"('subject_1', 'subject_15', 'subject_28')"
Orthogonal Matching Pursuit,3.7278,18.4077,4.2876,-0.0058,0.344,0.3609,0.473,"('subject_1', 'subject_15', 'subject_28')"
Huber Regressor,3.7352,18.5812,4.308,-0.0156,0.3472,0.3665,0.465,"('subject_1', 'subject_15', 'subject_28')"
Least Angle Regression,3.7392,18.4459,4.2917,-0.0086,0.3425,0.3587,0.438,"('subject_1', 'subject_15', 'subject_28')"
K Neighbors Regressor,3.9042,21.1777,4.5994,-0.1614,0.364,0.3769,0.458,"('subject_1', 'subject_15', 'subject_28')"
Decision Tree Regressor,4.4235,30.8723,5.5473,-0.6921,0.4325,0.3929,0.544,"('subject_1', 'subject_15', 'subject_28')"
Passive Aggressive Regressor,4.7865,33.0288,5.5981,-0.8152,0.4426,0.3662,0.49,"('subject_1', 'subject_15', 'subject_28')"
Random Forest Regressor,3.4352,16.2498,4.0288,0.0717,0.3141,0.3171,0.549,"('subject_1', 'subject_15', 'subject_29')"
Gradient Boosting Regressor,3.4799,16.474,4.0552,0.0597,0.3179,0.3235,0.441,"('subject_1', 'subject_15', 'subject_29')"
Light Gradient Boosting Machine,3.4969,17.533,4.1852,-0.0035,0.3239,0.3184,0.455,"('subject_1', 'subject_15', 'subject_29')"
Extra Trees Regressor,3.5469,17.3207,4.1606,0.0094,0.3241,0.3276,0.575,"('subject_1', 'subject_15', 'subject_29')"
AdaBoost Regressor,3.5776,16.6836,4.0815,0.0483,0.3239,0.3365,0.481,"('subject_1', 'subject_15', 'subject_29')"
Linear Regression,3.6211,17.4517,4.1751,0.0035,0.3339,0.3469,0.507,"('subject_1', 'subject_15', 'subject_29')"
Ridge Regression,3.6223,17.4483,4.1748,0.0037,0.334,0.3472,0.508,"('subject_1', 'subject_15', 'subject_29')"
Least Angle Regression,3.6411,17.803,4.2139,-0.0154,0.3357,0.3475,0.518,"('subject_1', 'subject_15', 'subject_29')"
Huber Regressor,3.6487,17.8698,4.2248,-0.0205,0.3399,0.3554,0.475,"('subject_1', 'subject_15', 'subject_29')"
Elastic Net,3.6492,17.6607,4.2,-0.0077,0.3372,0.3518,0.565,"('subject_1', 'subject_15', 'subject_29')"
Dummy Regressor,3.6518,17.6685,4.2008,-0.008,0.3371,0.3518,0.416,"('subject_1', 'subject_15', 'subject_29')"
Lasso Regression,3.6547,17.6889,4.2033,-0.0092,0.3373,0.3521,0.414,"('subject_1', 'subject_15', 'subject_29')"
Lasso Least Angle Regression,3.6547,17.6889,4.2033,-0.0092,0.3373,0.3521,0.529,"('subject_1', 'subject_15', 'subject_29')"
Bayesian Ridge,3.6553,17.6978,4.2045,-0.0099,0.3375,0.3523,0.51,"('subject_1', 'subject_15', 'subject_29')"
Orthogonal Matching Pursuit,3.6572,17.6756,4.2018,-0.0086,0.3372,0.3524,0.512,"('subject_1', 'subject_15', 'subject_29')"
K Neighbors Regressor,3.7538,19.7318,4.4385,-0.129,0.3522,0.361,0.441,"('subject_1', 'subject_15', 'subject_29')"
Decision Tree Regressor,4.2405,29.2246,5.3971,-0.6677,0.4181,0.3804,0.447,"('subject_1', 'subject_15', 'subject_29')"
Passive Aggressive Regressor,4.7718,35.5483,5.8783,-1.0331,0.4647,0.4962,0.441,"('subject_1', 'subject_15', 'subject_29')"
Gradient Boosting Regressor,3.393,15.4584,3.9279,0.0934,0.3095,0.3155,0.594,"('subject_1', 'subject_15', 'subject_3')"
Random Forest Regressor,3.3967,15.7535,3.9663,0.0761,0.3114,0.3152,0.688,"('subject_1', 'subject_15', 'subject_3')"
Extra Trees Regressor,3.4809,16.7284,4.0856,0.0196,0.32,0.3235,0.553,"('subject_1', 'subject_15', 'subject_3')"
Light Gradient Boosting Machine,3.481,17.1936,4.1435,-0.0091,0.3227,0.3192,0.531,"('subject_1', 'subject_15', 'subject_3')"
AdaBoost Regressor,3.4944,16.1008,4.0111,0.0571,0.3202,0.3306,0.522,"('subject_1', 'subject_15', 'subject_3')"
Ridge Regression,3.5747,17.1112,4.1343,-0.0012,0.3327,0.3451,0.407,"('subject_1', 'subject_15', 'subject_3')"
Linear Regression,3.575,17.1143,4.1346,-0.0014,0.3326,0.345,0.451,"('subject_1', 'subject_15', 'subject_3')"
Elastic Net,3.577,17.1722,4.142,-0.0045,0.3344,0.3475,0.459,"('subject_1', 'subject_15', 'subject_3')"
Lasso Least Angle Regression,3.5849,17.2148,4.1471,-0.0068,0.3346,0.348,0.422,"('subject_1', 'subject_15', 'subject_3')"
